Date : 2023-09-25 14:16:00
Directory : c:\Users\ricar\Desktop\front-vw\vw-frontend
Total : 260 files,  19505 codes, 289 comments, 874 blanks, all 20668 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\components\pages\not-found                                                                                                                           |          1 |          8 |          0 |          2 |         10 |
| src\components\pages\upload-panel                                                                                                                        |          2 |         42 |          0 |          8 |         50 |
| src\components\pages\upload-panel (Files)                                                                                                                |          1 |         25 |          0 |          4 |         29 |
| src\components\pages\upload-panel\critical-path                                                                                                          |          1 |         17 |          0 |          4 |         21 |
| src\constants                                                                                                                                            |          2 |          6 |          0 |          1 |          7 |
| src\formValidations                                                                                                                                      |          1 |         54 |          0 |          3 |         57 |
| src\hooks                                                                                                                                                |          3 |        171 |          0 |         34 |        205 |
| src\interfaces                                                                                                                                           |         11 |        119 |          0 |         11 |        130 |
| src\mocks                                                                                                                                                |         38 |      2,866 |         12 |         54 |      2,932 |
| src\redux                                                                                                                                                |          7 |        427 |          5 |         40 |        472 |
| src\redux\slices                                                                                                                                         |          4 |        240 |          4 |         26 |        270 |
| src\redux\thunks                                                                                                                                         |          3 |        187 |          1 |         14 |        202 |
| src\routes                                                                                                                                               |          3 |        168 |         14 |         17 |        199 |
| src\utils                                                                                                                                                |          3 |         75 |          1 |         25 |        101 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                 | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\ricar\Desktop\front-vw\vw-frontend\.env                                                                                                         | Properties         |          1 |          0 |          0 |          1 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\.eslintrc.cjs                                                                                                | JavaScript         |         89 |          0 |          1 |         90 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\.eslintrc.json                                                                                               | JSON with Comments |         38 |          0 |          1 |         39 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\.github\pull_request_template.md                                                                             | Markdown           |         18 |          0 |         10 |         28 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\.prettierrc.json                                                                                             | JSON               |          9 |          0 |          0 |          9 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\index.html                                                                                                   | HTML               |         13 |          0 |          1 |         14 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\package-lock.json                                                                                            | JSON               |      8,876 |          0 |          1 |      8,877 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\package.json                                                                                                 | JSON               |         62 |          0 |          1 |         63 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\postcss.config.js                                                                                            | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\App.tsx                                                                                                  | TypeScript JSX     |         10 |          0 |          3 |         13 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\api\axios.ts                                                                                             | TypeScript         |         27 |          1 |          8 |         36 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\app\store.ts                                                                                             | TypeScript         |         26 |          0 |          5 |         31 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\5sIcon.svg                                                                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\AbilitiesIcon.svg                                                                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\AssitenceIcon.svg                                                                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\FirstStateIcon.svg                                                                          | XML                |          7 |          0 |          1 |          8 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\FourthStateIcon.svg                                                                         | XML                |          4 |          0 |          1 |          5 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\PointsPlanIcon.svg                                                                          | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\SecondStateIcon.svg                                                                         | XML                |          8 |          0 |          1 |          9 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\SettingIcon.svg                                                                             | XML                |          4 |          0 |          1 |          5 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\StandarWorkIcon.svg                                                                         | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\TeamGoals.svg                                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\ThirdStateIcon.svg                                                                          | XML                |          9 |          0 |          1 |         10 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\analytics.svg                                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\arrow-down.svg                                                                              | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\arrow-growth.svg                                                                            | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\book-reader.svg                                                                             | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\bulletsButton.svg                                                                           | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\calender.svg                                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\categories.svg                                                                              | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\categoryIcon.svg                                                                            | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\cell.svg                                                                                    | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\channel.svg                                                                                 | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\chart-line.svg                                                                              | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\chat-bubble-user.svg                                                                        | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\checkIcon.svg                                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\clipboard-notes.svg                                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\clock-two 1.svg                                                                             | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\clockIcon.svg                                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\controlNumber.svg                                                                           | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\criticalRouteIcon.svg                                                                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\crosshair.svg                                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\deleteIcon.svg                                                                              | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\description.svg                                                                             | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\downloadIcon.svg                                                                            | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\dropIcon.svg                                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\editIcon.svg                                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\escalateIcon.svg                                                                            | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\helpIcon.svg                                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\iconKey.svg                                                                                 | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\iconUser.svg                                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\inboxIcon.svg                                                                               | XML                |         17 |          0 |          1 |         18 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\infoIcon.svg                                                                                | XML                |          5 |          0 |          1 |          6 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\list-ui-alt 1.svg                                                                           | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\open-close-icon.svg                                                                         | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\people.svg                                                                                  | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\plus.svg                                                                                    | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\problemType.svg                                                                             | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\quantity.svg                                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\resolveIcon.svg                                                                             | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\role.svg                                                                                    | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\roleIcon.svg                                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\screw.svg                                                                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\solution.svg                                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\statusIcon.svg                                                                              | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\statusSuccessIcon.svg                                                                       | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\unCheckIcon.svg                                                                             | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\usersIcon.svg                                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\login_img.svg                                                                                     | XML                |        186 |          0 |          1 |        187 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\not-found.svg                                                                                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\uandari-color-logo.svg                                                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\volkswagen-logo-color.svg                                                                         | XML                |          9 |          0 |          1 |         10 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\commons\enums.ts                                                                                         | TypeScript         |         40 |          1 |          2 |         43 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\card\index.tsx                                                                          | TypeScript JSX     |         26 |          0 |          4 |         30 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\card_statistics\index.tsx                                                               | TypeScript JSX     |         41 |          0 |          3 |         44 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\circle_progress_indicator\index.tsx                                                     | TypeScript JSX     |          7 |          0 |          1 |          8 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\dashboard-container\index.tsx                                                           | TypeScript JSX     |         10 |          0 |          2 |         12 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\drawer\index.tsx                                                                        | TypeScript JSX     |        124 |          0 |         10 |        134 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\input\index.tsx                                                                         | TypeScript JSX     |         65 |          0 |          5 |         70 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\input\validated.tsx                                                                     | TypeScript JSX     |          0 |        112 |          1 |        113 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\uploadButton\index.tsx                                                                  | TypeScript JSX     |         22 |          0 |          3 |         25 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\userManualButton\index.tsx                                                              | TypeScript JSX     |         26 |          0 |          4 |         30 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\layout\sidebar\index.tsx                                                                      | TypeScript JSX     |         37 |          0 |          5 |         42 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\layout\sidebar\sidebarTab.tsx                                                                 | TypeScript JSX     |         44 |          0 |          8 |         52 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\layout\sidebar\sidebarTitle.tsx                                                               | TypeScript JSX     |         10 |          0 |          2 |         12 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\layout\topbar\index.tsx                                                                       | TypeScript JSX     |         38 |          0 |          6 |         44 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\cells\board.tsx                                                             | TypeScript JSX     |         47 |          0 |          6 |         53 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\cells\index.tsx                                                             | TypeScript JSX     |         22 |          0 |          3 |         25 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\cells\modules\CellBoard.tsx                                                 | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\cells\modules\FormBoard.tsx                                                 | TypeScript JSX     |         67 |          1 |          8 |         76 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\cells\modules\HeadBoard.tsx                                                 | TypeScript JSX     |         10 |          0 |          3 |         13 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\cells\modules\RowBoard.tsx                                                  | TypeScript JSX     |         19 |         22 |          4 |         45 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\index.tsx                                                                   | TypeScript JSX     |         44 |          0 |          2 |         46 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\board.tsx                                                             | TypeScript JSX     |         70 |         10 |          7 |         87 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\index.tsx                                                             | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\CellBoard.tsx                                                 | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\FormBoard.tsx                                                 | TypeScript JSX     |        116 |          0 |         12 |        128 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\HeadBoard.tsx                                                 | TypeScript JSX     |         10 |          0 |          3 |         13 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\RowBoard.tsx                                                  | TypeScript JSX     |         53 |          3 |          5 |         61 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\AdministratorsTab.tsx                                    | TypeScript JSX     |         53 |          0 |          6 |         59 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\AllTab.tsx                                               | TypeScript JSX     |        102 |          0 |         13 |        115 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\CoordinatorsTab.tsx                                      | TypeScript JSX     |         53 |          0 |          6 |         59 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\ManagersTab.tsx                                          | TypeScript JSX     |         53 |          0 |          6 |         59 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\TeamLeadersTab.tsx                                       | TypeScript JSX     |         53 |          0 |          6 |         59 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\VisualizersTab.tsx                                       | TypeScript JSX     |         53 |          0 |          6 |         59 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\index.tsx                                                | TypeScript JSX     |         46 |          0 |          4 |         50 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\assistence-per-shift\index.tsx                                                | TypeScript JSX     |         26 |          0 |          4 |         30 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\assistence-per-shift\modules\Tabs\Assitance\AssitanceRow.tsx                  | TypeScript JSX     |        155 |          6 |          7 |        168 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\assistence-per-shift\modules\Tabs\Assitance\AssitenceTab.tsx                  | TypeScript JSX     |         23 |          0 |          3 |         26 |
